Date,Species,Street,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,CULEX ERRATICUS,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,Station
2007-05-29,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,T002,41.95469,-87.800991,1,0,0,0,1,0,0,0,0,1
2007-05-29,CULEX RESTUANS, N OAK PARK AVE,T002,41.95469,-87.800991,1,0,0,0,0,1,0,0,0,1
2007-05-29,CULEX RESTUANS, N MANDELL AVE,T007,41.994991,-87.769279,1,0,0,0,0,1,0,0,0,1
2007-05-29,CULEX PIPIENS/RESTUANS, W FOSTER AVE,T015,41.974089,-87.824812,1,0,0,0,1,0,0,0,0,1
2007-05-29,CULEX RESTUANS, W FOSTER AVE,T015,41.974089,-87.824812,4,0,0,0,0,1,0,0,0,1
2007-05-29,CULEX RESTUANS, W WEBSTER AVE,T045,41.9216,-87.666455,2,0,0,0,0,1,0,0,0,1
2007-05-29,CULEX RESTUANS, W GRAND AVE,T046,41.891118,-87.65449100000001,1,0,0,0,0,1,0,0,0,1
2007-05-29,CULEX PIPIENS/RESTUANS, W ROOSEVELT,T048,41.867108,-87.654224,1,0,0,0,1,0,0,0,0,2
2007-05-29,CULEX RESTUANS, W ROOSEVELT,T048,41.867108,-87.654224,2,0,0,0,0,1,0,0,0,2
2007-05-29,CULEX RESTUANS, W CHICAGO,T049,41.896282,-87.655232,1,0,0,0,0,1,0,0,0,1
2007-05-29,CULEX PIPIENS/RESTUANS, N STAVE ST,T050,41.919343,-87.694259,1,0,0,0,1,0,0,0,0,1
2007-05-29,CULEX PIPIENS/RESTUANS, N CANNON DR,T054,41.921965,-87.632085,2,0,0,0,1,0,0,0,0,1
2007-05-29,CULEX RESTUANS, N CANNON DR,T054,41.921965,-87.632085,3,0,0,0,0,1,0,0,0,1
2007-05-29,CULEX PIPIENS/RESTUANS, W 113TH ST,T086,41.688324,-87.676709,1,0,0,0,1,0,0,0,0,2
2007-05-29,CULEX RESTUANS, W 113TH ST,T086,41.688324,-87.676709,1,0,0,0,0,1,0,0,0,2
2007-05-29,CULEX RESTUANS, S PEORIA ST,T091,41.862292,-87.64886,1,0,0,0,0,1,0,0,0,2
2007-05-29,CULEX RESTUANS, W 95TH ST,T094,41.720848,-87.666014,3,0,0,0,0,1,0,0,0,2
2007-05-29,CULEX RESTUANS, W 89TH ST,T096,41.731922,-87.677512,5,0,0,0,0,1,0,0,0,2
2007-05-29,CULEX PIPIENS, W 89TH ST,T096,41.731922,-87.677512,1,0,0,1,0,0,0,0,0,2
2007-05-29,CULEX PIPIENS/RESTUANS, N STREETER DR,T129,41.891126,-87.61156,1,0,0,0,1,0,0,0,0,1
2007-05-29,CULEX RESTUANS, N STREETER DR,T129,41.891126,-87.61156,2,0,0,0,0,1,0,0,0,1
2007-05-29,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,T143,41.999128999999996,-87.795585,1,0,0,0,1,0,0,0,0,1
2007-05-29,CULEX PIPIENS/RESTUANS, N OAKLEY AVE,T148,42.01743,-87.68776899999999,1,0,0,0,1,0,0,0,0,1
2007-05-29,CULEX RESTUANS, N LONG AVE,T153,41.907645,-87.760886,1,0,0,0,0,1,0,0,0,1
2007-05-29,CULEX RESTUANS, S CARPENTER ST,T159,41.732984,-87.649642,1,0,0,0,0,1,0,0,0,2
