WnvPresent,WeekofYear,Sunrise,CULEX PIPIENS,Month,CULEX RESTUANS,DewPoint,WetBulb,Tmin,Longitude,Sunset,Tavg,Depart,Cool,FG,Heat,year,Tmax,BR,ResultSpeed,Station,TSRA,VCTS,CULEX TERRITANS,Latitude,AvgSpeed,HZ,RA,TS,CULEX SALINARIUS,StnPressure,CULEX PIPIENS/RESTUANS,SeaLevel,CULEX TARSALIS,PrecipTotal,ResultDir,DZ,CULEX ERRATICUS,MIFG
0,22,421,0,5,0,58,65.0,60,-87.800991,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.95469,6.5,1,0,0,0,29.39,1,30.11,0,0.0,18,0,0,0
0,22,421,0,5,1,58,65.0,60,-87.800991,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.95469,6.5,1,0,0,0,29.39,0,30.11,0,0.0,18,0,0,0
0,22,421,0,5,1,58,65.0,60,-87.769279,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.994991,6.5,1,0,0,0,29.39,0,30.11,0,0.0,18,0,0,0
0,22,421,0,5,0,58,65.0,60,-87.824812,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.974089,6.5,1,0,0,0,29.39,1,30.11,0,0.0,18,0,0,0
0,22,421,0,5,1,58,65.0,60,-87.824812,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.974089,6.5,1,0,0,0,29.39,0,30.11,0,0.0,18,0,0,0
0,22,421,0,5,1,58,65.0,60,-87.666455,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.9216,6.5,1,0,0,0,29.39,0,30.11,0,0.0,18,0,0,0
0,22,421,0,5,1,58,65.0,60,-87.65449100000001,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.891118,6.5,1,0,0,0,29.39,0,30.11,0,0.0,18,0,0,0
0,22,421,0,5,1,58,65.0,60,-87.655232,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.896282,6.5,1,0,0,0,29.39,0,30.11,0,0.0,18,0,0,0
0,22,421,0,5,0,58,65.0,60,-87.694259,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.919343,6.5,1,0,0,0,29.39,1,30.11,0,0.0,18,0,0,0
0,22,421,0,5,0,58,65.0,60,-87.632085,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.921965,6.5,1,0,0,0,29.39,1,30.11,0,0.0,18,0,0,0
0,22,421,0,5,1,58,65.0,60,-87.632085,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.921965,6.5,1,0,0,0,29.39,0,30.11,0,0.0,18,0,0,0
0,22,421,0,5,0,58,65.0,60,-87.61156,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.891126,6.5,1,0,0,0,29.39,1,30.11,0,0.0,18,0,0,0
0,22,421,0,5,1,58,65.0,60,-87.61156,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.891126,6.5,1,0,0,0,29.39,0,30.11,0,0.0,18,0,0,0
0,22,421,0,5,0,58,65.0,60,-87.795585,1917,74.0,10.0,9.0,0,0.0,2007,88,1,5.8,1,0,0,0,41.999129,6.5,1,0,0,0,29.39,1,30.11,0,0.0,18,0,0,0
